course_id,course_name,sector,skills_covered,nsqf_level,duration,job_role
C001,Web Development Fundamentals,IT,"HTML,CSS,JavaScript,Responsive Design",3,3 Months,Junior Web Developer
C002,Python Programming Basics,IT,"Python,Programming,Scripting,Logic Building",3,3 Months,Junior Python Developer
C003,Data Entry and Office Tools,IT,"MS Excel,MS Word,Spreadsheets,Typing,Data Entry",2,1 Month,Data Entry Operator
C004,Graphic Design Essentials,IT,"Adobe Photoshop,Illustrator,Design Principles,Creativity",4,4 Months,Junior Graphic Designer
C005,Digital Marketing Foundation,IT,"SEO,Social Media Marketing,Google Analytics,Content Writing",4,3 Months,Digital Marketing Executive
C006,React Frontend Development,IT,"React.js,JavaScript,HTML,CSS,State Management",6,6 Months,Frontend Developer
C007,Full Stack Web Developer,IT,"React.js,Node.js,MongoDB,JavaScript,REST APIs",6,9 Months,Full Stack Developer
C008,Data Science with Python,IT,"Python,Statistics,Machine Learning,Pandas,NumPy,Sklearn",6,6 Months,Data Analyst
C009,Machine Learning Engineer,IT,"Python,Deep Learning,TensorFlow,Scikit-learn,Neural Networks",7,12 Months,ML Engineer
C010,Cybersecurity Basics,IT,"Networking,Ethical Hacking,Firewall,Security Protocols",5,4 Months,Security Analyst
C011,SQL and Database Management,IT,"SQL,MySQL,MongoDB,Database Design,Query Optimization",5,3 Months,Database Administrator
C012,Cloud Computing Fundamentals,IT,"AWS,Cloud Architecture,DevOps,Linux,Docker",6,5 Months,Cloud Support Engineer
C013,Android App Development,IT,"Java,Android SDK,Kotlin,Mobile UI,Firebase",6,6 Months,Android Developer
C014,UI/UX Design,IT,"Figma,Wireframing,Prototyping,User Research,Design Thinking",5,5 Months,UI/UX Designer
C015,Computer Hardware Technician,IT,"Hardware Assembly,Networking,Troubleshooting,Maintenance",3,3 Months,Hardware Technician
C016,iOS App Development,IT,"Swift,Xcode,iOS SDK,UIKit,App Store Deployment",7,8 Months,iOS Developer
C017,DevOps Engineer,IT,"Docker,Kubernetes,CI/CD,Jenkins,Linux,AWS",7,9 Months,DevOps Engineer
C018,Blockchain Developer,IT,"Solidity,Ethereum,Smart Contracts,Web3.js,Cryptography",7,9 Months,Blockchain Developer
C019,Data Engineering,IT,"Python,Apache Spark,Airflow,ETL Pipelines,SQL,BigData",7,10 Months,Data Engineer
C020,Network Administration,IT,"Cisco Networking,CCNA,TCP/IP,Firewalls,VPN",5,4 Months,Network Administrator
C021,General Duty Assistant,Healthcare,"Patient Care,Hygiene,First Aid,Vital Signs,Communication",3,6 Months,General Duty Assistant
C022,Phlebotomy Technician,Healthcare,"Blood Draw,Lab Procedures,Clinical Skills,Sample Handling",4,4 Months,Phlebotomist
C023,Medical Transcription,Healthcare,"Medical Terminology,Typing,Documentation,English Proficiency",4,3 Months,Medical Transcriptionist
C024,Home Health Aide,Healthcare,"Elderly Care,Personal Hygiene,First Aid,Empathy,Communication",2,2 Months,Home Health Aide
C025,Nursing Assistant,Healthcare,"Patient Care,Vital Signs Monitoring,Hygiene,Medical Assistance",5,6 Months,Nursing Assistant
C026,Medical Lab Technician,Healthcare,"Haematology,Microbiology,Biochemistry,Lab Equipment,Sample Analysis",6,12 Months,Medical Lab Technician
C027,Pharmacy Assistant,Healthcare,"Drug Dispensing,Pharmacology Basics,Inventory,Customer Service",4,6 Months,Pharmacy Assistant
C028,ECG Technician,Healthcare,"ECG Operation,Cardiac Monitoring,Patient Preparation,Report Documentation",5,4 Months,ECG Technician
C029,Radiography Assistant,Healthcare,"X-Ray Procedures,Patient Positioning,Radiation Safety,PACS Systems",5,6 Months,Radiography Assistant
C030,Community Health Worker,Healthcare,"Community Outreach,Health Education,First Aid,Disease Prevention",3,4 Months,Community Health Worker
C031,Wireman Course,Construction,"Electrical Wiring,Safety Procedures,Circuit Diagrams,Tools Usage",3,4 Months,Wireman
C032,Plumbing Technician,Construction,"Pipe Fitting,Plumbing Systems,Water Supply,Tools Handling",3,4 Months,Plumber
C033,Masonry Worker,Construction,"Brickwork,Cement Work,Construction Tools,Structural Safety",2,3 Months,Mason
C034,Interior Design Basics,Construction,"AutoCAD,Space Planning,Colour Theory,Design Creativity",5,6 Months,Interior Design Assistant
C035,Solar Panel Technician,Construction,"Solar PV Installation,Electrical Safety,Maintenance,On-grid Systems",4,3 Months,Solar Technician
C036,Construction Safety Supervisor,Construction,"Safety Regulations,Risk Assessment,PPE Usage,Emergency Response",5,3 Months,Safety Supervisor
C037,CAD Draughtsman,Construction,"AutoCAD,Civil Drawing,Blueprint Reading,Technical Sketching",5,5 Months,CAD Draughtsman
C038,Building Information Modelling,Construction,"Revit,BIM Workflows,3D Modelling,Coordination",6,6 Months,BIM Coordinator
C039,Scaffolding Supervisor,Construction,"Scaffolding Assembly,Safety,Load Bearing,Inspection",3,2 Months,Scaffolding Supervisor
C040,Quantity Surveyor Assistant,Construction,"Cost Estimation,BOQ Preparation,MS Excel,Site Measurement",5,4 Months,Quantity Surveyor Assistant
C041,Retail Sales Associate,Retail,"Sales Techniques,Customer Service,Inventory Management,POS Systems",2,2 Months,Retail Associate
C042,E-commerce Operations,Retail,"Online Selling,Inventory Management,Logistics,Customer Service,Marketplace Tools",4,3 Months,E-commerce Executive
C043,Visual Merchandiser,Retail,"Display Design,Planogram,Brand Standards,Customer Psychology",4,3 Months,Visual Merchandiser
C044,Store Manager,Retail,"Team Management,P&L Basics,Inventory,CRM,Leadership",6,6 Months,Store Manager
C045,Cashier and Billing Operator,Retail,"Cash Handling,POS Software,Customer Interaction,Accounting Basics",2,1 Month,Cashier
C046,Beauty Therapist,Beauty & Wellness,"Makeup Application,Skincare Treatments,Hair Styling,Customer Service",3,4 Months,Beauty Therapist
C047,Yoga Instructor,Beauty & Wellness,"Yoga Asanas,Breathing Techniques,Fitness Training,Anatomy Basics",5,6 Months,Yoga Instructor
C048,Hair Stylist,Beauty & Wellness,"Hair Cutting,Colouring,Styling,Salon Management,Client Communication",3,4 Months,Hair Stylist
C049,Fitness Trainer,Beauty & Wellness,"Exercise Science,Anatomy,Nutrition Basics,Personal Training,Motivation",5,6 Months,Personal Fitness Trainer
C050,Spa Therapist,Beauty & Wellness,"Massage Techniques,Aromatherapy,Skin Care,Hygiene,Client Relations",4,4 Months,Spa Therapist
C051,Automobile Technician,Automotive,"Engine Mechanics,Repair Techniques,Diagnostics,Tools Usage",4,6 Months,Auto Mechanic
C052,Two Wheeler Service Technician,Automotive,"Engine Servicing,Electrical Systems,Tools,Mechanical Repair",3,4 Months,Two Wheeler Mechanic
C053,Electric Vehicle Technician,Automotive,"EV Battery,Motor Systems,Charging Infrastructure,EV Diagnostics",5,6 Months,EV Technician
C054,Automotive Painter,Automotive,"Surface Preparation,Spray Painting,Finishing,Safety",3,3 Months,Automotive Painter
C055,Auto Electrician,Automotive,"Vehicle Wiring,Electrical Diagnostics,Battery Systems,ECU Basics",4,5 Months,Auto Electrician
C056,Agricultural Field Worker,Agriculture,"Soil Preparation,Irrigation,Crop Management,Farm Tools",1,2 Months,Farm Worker
