year,skill,demand_count,avg_salary
2022,python,4000,500000
2023,python,5000,550000
2024,python,7000,600000
2025,python,9500,750000
2022,sql,3500,450000
2023,sql,4500,480000
2024,sql,6000,550000
2025,sql,8000,650000
2022,react,3000,500000
2023,react,4200,600000
2024,react,5800,700000
2025,react,7500,850000
2022,javascript,4500,400000
2023,javascript,5500,450000
2024,javascript,7200,500000
2025,javascript,9000,550000
2022,machine learning,1500,800000
2023,machine learning,2500,900000
2024,machine learning,4000,1100000
2025,machine learning,6500,1500000
2022,data visualization,2000,400000
2023,data visualization,2800,450000
2024,data visualization,4000,500000
2025,data visualization,5500,600000
2022,accounting,6000,300000
2023,accounting,6200,320000
2024,accounting,6500,350000
2025,accounting,6800,380000
2022,tools,8000,200000
2023,tools,8200,220000
2024,tools,8500,240000
2025,tools,8800,250000
2022,wiring,3000,180000
2023,wiring,3200,190000
2024,wiring,3500,210000
2025,wiring,3800,230000
2022,communication,12000,250000
2023,communication,12500,270000
2024,communication,13500,300000
2025,communication,14500,320000
2022,aws,1200,700000
2023,aws,2000,800000
2024,aws,3200,950000
2025,aws,4800,1200000
2022,docker,1800,600000
2023,docker,2800,700000
2024,docker,4500,850000
2025,docker,6000,1050000
2022,excel,10000,250000
2023,excel,10500,270000
2024,excel,11000,300000
2025,excel,11500,330000
